sound	sound spelling	word	Pronunciation (AHD)	Pronunciation (IPA)	translation	example in English	ejemplo en español
ɛ	e	bless	blĕs	/blɛs/	bendecir	God bless us, every one	Que Dios nos bendiga, a cada de nostros
ɛ	e	blessing	blĕs'ĭng	/ˈblɛs.iŋ/	bendición	I thank Him for blessings he sends	Le agradezco por las bendiciones que me envía
u	oo	boot	bo͞ot	/but/	bota	Boots are my favorite shoes	Las botas son mis zapatos favoritos
eɪ	a	baby	bā'bē	/ˈbeɪbi/	bebé	Our baby is so cute	Nuestra bebe es tan linda
i	y	baby	bā'bē	/ˈbeɪbi/	bebé	Our baby is so cute	Nuestra bebe es tan linda
eɪ	a_e	babe	bāb	/beɪb/	nena, chica muy guapa	My wife is a babe	mi esposa es una nena
æ	a	bat	băt	/bæt/	murciélago	My cat sat on a bat	Mi gato se sentó en un murciélago
i	ee	bee	bē	/bi/	abeja	Bees buzz	Las abejas zumban
i	ea	beat	bēt	/bit/	batir, vencer, derrotar, ritmo, golpear	I beat the eggs with a fork	Bato los huevos con un tenedor
i	ee	beet	bēt	/bit/	remolacha	I eat beets	Como remolachas
ɛ	e	bed	bĕd	/bɛd/	cama	I lay my head on the bed	recosto mi cabeza en la cama
aɪ	ye	bye	bī	/baɪ/	adiós	Bye! I'm going by the store to buy fish	¡Adiós! Voy por la tienda a comprar pescado
aɪ	y	buy	bī	/baɪ/	comprar	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
aɪ	y	by	bī	/baɪ/	por, al lado de	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
ɪ	*ee	been	bĭn	/bɪn/	sido, estado	I have been sick	He estado enfermo
ʊ	oo	cook	co͝ok	/cʊk/	cocinar	Cook the soup for one hour	Cocina la sopa durante una hora
ɑ	o	dog	dôg	/dɑg/	perro	A dog is a friend	Un perro es un amigo
aɪ	y	fly	flī	/flaɪ/	volar, mosca	Watch the fly fly high	Mira la mosca volar alto
ʊ	oo	foot	fo͝ot	/fʊt/	pie	I stand on one foot	Estoy parado en un pie
u	oo	food	fo͞od	/fud/	comida	The scriptures are food for the soul	Las Escrituras son alimento para el alma
ɑ	a	father	fä'thər	/ˈfɑðɚ/	padre	I pray to Heavenly Father	Oro al Padre Celestial
o	o	fork	fôrk	/foɹk/	tenedor	I beat the eggs with a fork	Bato los huevos con un tenedor
i	ee	feet	fēt	/fit/	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
i	ea	feat	fēt	/fit/	logro	Winning a gold medal is a great feat	Ganando el premio oro es un gran logro
ɪ	i	fit	fĭt	/fɪt/	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
ʊ	oo	good	go͝od	/gʊd/	bien	God is good	Dios es bueno
i	ee	green	grēn	/gɹin/	verde	The green grass grows	La hierba verde crece
ɑ	o	God	gäd	/ɡɑd/	Dios	God is good	Dios es bueno
eɪ	a_e	gate	gāt	/ɡeɪt/	puerta (de una cerca)	I painted the gate in the fence	Pinté la puerta en la cerca
oʊ	o	go	gō	/goʊ/	ir	Let's go to the park	Vamanos al parque
ɛ	ea	head	hĕd	/hɛd/	cabeza	I lay my head on the bed	recosto mi cabeza en la cama
ɛ	e	help	hĕlp	/hɛlp/	ayudar,ayuda	Please help me	Por favor, ayudame
ɛ	ea	heavenly	hĕv'ən-lē	/ˈhɛvənli/	celestial	I pray to Heavenly Father	Oro al Padre Celestial
aɪ	igh	high	hī	/haɪ/	alto (de altitud)	Watch the fly fly high	Mira la mosca volar alto
aɪ	i	hi	hī	/haɪ/	hola (informal)	Hi! How are you?	¡Hola! ¿Como estás?
æ	a	cat	kăt	/kæt/	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
ɝ	ea	learn	lûrn	/lɝn/	aprender	I love to learn	Me encanta aprender
u	oo	noon	no͞on	/fud/	mediodía	Lunch is at noon	El almuerzo está al mediodía
eɪ	ay	pray	prā	/pɹeɪ/	orar	I pray every day	Oro cada día
eɪ	ai	paint	pānt	/peɪnt/	pintar	I painted the gate in the fence	Pinté la puerta en la cerca
ɛ	e	red	rĕd	/ɹɛd/	rojo	I wear a red tie	Me llevo una corbata roja
i	ee	sheep	shēp	/ʃip/	oveja, ovejas	The shepherd tends his sheep	El pastor cuida a sus ovejas
i	ee	sheet	shēt	/ʃit/	hoja(de papel), sábana	Please hand me that sheet of paper	Por favor, dame aquel hoja de papel
ɪ	i	ship	shĭp	/ʃɪp/	barco, navio	I traveled by ship	Viajé en barco
i	ee	street	strēt	/stɹit/	calle	See the bee cross the street!	¡Mira la abeja cruzar la calle!
ɔ	o_e	store	stôr	/stɔɹ/	tienda	I went by the store to buy fish	Pasé por la tienda a comprar pescado
i	ee	sweet	swēt	/swit/	calle	See the bee cross the street!	¡Mira la abeja cruzar la calle!
i	ee	see	sē	/si/	ver,mirar	See the bee cross the street!	¡Mira la abeja cruzar la calle!
i	ea	seat	sēt	/sit/	asiento, silla, sede	Please have a seat	Por favor, tome asiento
ɛ	e	set	sĕt	/sɛt/	poner	I set the table	Puse la mesa
ɪ	i	sit	sĭt	/sɪt/	sentarse	Please sit down	Por favor, sientase
oʊ	ou	soul	sōl	/soʊl/	alma	The scriptures are food for the soul	Las Escrituras son alimento para el alma
u	o	to	to͞o	/tu/	(indica infinitivo)	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	oo	too	to͞o	/tu/	demasiado,tambien	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	o	two	to͞o	/tu/	dos	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
aɪ	i	time	tīm	/ttaɪm/	tiempo	What time is it?	¿Qué hora es?
eɪ	a	a	ā	/eɪ/	un, una	Take your car to a gas station	Lleva tu carro a una gasolinera
i	ea	eat	ēt	/it/	comer	I eat beets	Como remolachas
aɪ	I	I	ī	/aɪ/	yo	I went by the store to buy fish	Pasé por la tienda a comprar pescado
ɪ	i	if	ĭf	/ɪf/	si	If it is to be, it is up to me	Si así será, depende de mi
ɪ	i	it	ĭt	/ɪt/	(alguna cosa)lo, le, la, él, ello, ella, aquél, aquélla	Please give it to me	Por favor, damelo
